Meter S/N:," ""0479F14R""",,,,,,,
Sensor, THERMO,,,,,,,
Date, 7/1/2014 4:01:24 PM,,,,,,,
Units, W,,,,,,,
Timestamp, Measurement, Flags (interpreted),,,,,,
0.0006416,0.215172961,0,,,,,,
0.0006432,0.203133047,0,,,,,,
0.0006448,0.192273512,0,,,,,,
0.0006464,0.204313427,0,,,,,,
0.000648,0.213756502,0,,,,,,
0.0006496,0.213992581,0,,,,,,
0.0006512,0.188968435,0,,,,,,
0.0006528,0.198411509,0,,,,,,
0.0006544,0.19959189,0,,,,,,
0.000656,0.20218873,0,,,,,,
0.0006576,0.189676657,0,,,,,,
0.0006592,0.191329196,0,,,,,,
0.0006608,0.195106432,0,,,,,,
0.0006624,0.202660888,0,,,,,,
0.000664,0.199355811,0,,,,,,
0.0006656,0.202424809,0,,,,,,
0.0006672,0.203369126,0,,,,,,
0.0006688,0.183302596,0,,,,,,
0.0006704,0.185663357,0,,,,,,
0.000672,0.194870353,0,,,,,,
0.0006736,0.184482977,0,,,,,,
0.0006752,0.205965966,0,,,,,,
0.0006768,0.19557859,0,,,,,,
0.0006784,0.187079817,0,,,,,,
0.00068,0.19699505,0,,,,,,
0.0006816,0.189440593,0,,,,,,
0.0006832,0.193217814,0,,,,,,
0.0006848,0.196286812,0,,,,,,
0.0006864,0.174331665,0,,,,,,
0.000688,0.169846207,0,,,,,,
0.0006896,0.190148816,0,,,,,,
0.0006912,0.193217814,0,,,,,,
0.0006928,0.180233598,0,,,,,,
0.0006944,0.185663357,0,,,,,,
0.000696,0.19557859,0,,,,,,
0.0006976,0.18353866,0,,,,,,
0.0006992,0.181177899,0,,,,,,
0.0007008,0.190148816,0,,,,,,
0.0007024,0.18094182,0,,,,,,
0.000704,0.188024133,0,,,,,,
0.0007056,0.174095601,0,,,,,,
0.0007072,0.188496277,0,,,,,,
0.0007088,0.174567744,0,,,,,,
0.0007104,0.167721525,0,,,,,,
0.000712,0.158986673,0,,,,,,
0.0007136,0.177164599,0,,,,,,
0.0007152,0.18235828,0,,,,,,
0.0007168,0.170554444,0,,,,,,
0.0007184,0.168193668,0,,,,,,
0.00072,0.160875291,0,,,,,,
0.0007216,0.152376533,0,,,,,,
0.0007232,0.174095601,0,,,,,,
0.0007248,0.178817123,0,,,,,,
0.0007264,0.17952536,0,,,,,,
0.000728,0.174331665,0,,,,,,
0.0007296,0.170790523,0,,,,,,
0.0007312,0.170790523,0,,,,,,
0.0007328,0.172206983,0,,,,,,
0.0007344,0.179053202,0,,,,,,
0.000736,0.168665826,0,,,,,,
0.0007376,0.166777208,0,,,,,,
0.0007392,0.176692441,0,,,,,,
0.0007408,0.173623443,0,,,,,,
0.0007424,0.175039902,0,,,,,,
0.000744,0.166541129,0,,,,,,
0.0007456,0.173859522,0,,,,,,
0.0007472,0.178108901,0,,,,,,
0.0007488,0.160875291,0,,,,,,
0.0007504,0.165596828,0,,,,,,
0.000752,0.167485446,0,,,,,,
0.0007536,0.157098055,0,,,,,,
0.0007552,0.150251836,0,,,,,,
0.0007568,0.167013288,0,,,,,,
0.0007584,0.166541129,0,,,,,,
0.00076,0.161819592,0,,,,,,
0.0007616,0.162055671,0,,,,,,
