Meter S/N: Not_Serialized,,,
Sensor S/N: x1
SUN JUN  9 16:47:37 2013,,,
Measurement,QuadDistanceX(mm),QuadDistanceY(mm),PulsePeriod(usec)
+1.5136065E-01, +0.6, +2.3,         0
+1.5008810E-01, +0.5, +2.5,         0
+1.4965919E-01, +0.8, +2.5,         0
+1.4658861E-01, +0.6, +2.4,         0
+1.4965869E-01, +0.3, +2.4,         0
+1.5125048E-01, +0.3, +2.8,         0
+1.5436953E-01, +0.4, +2.5,         0
+1.4481664E-01, +0.2, +2.6,         0
+1.5063915E-01, +0.2, +2.4,         0
+1.4060661E-01, +0.2, +2.6,         0
+1.4323844E-01, +0.2, +2.8,         0
+1.5092516E-01, +0.5, +2.7,         0
+1.4433935E-01, -0.0, +2.5,         0
+1.5890178E-01, +0.4, +2.2,         0
