Meter S/N:, "REV_DA_16"
Sensor, Thermo, Quad, 1A365, LM-3 QHTD HD
Date, 11/20/2014 1:59:51 PM
Units, W
Timestamp, Measurement, X, Y, Sequence, Flags, Flags (interpreted), Period
9.7, 0.0603429190814495, 9.5, 0.806304156780243, 9700010, 0, 0, 0
9.8, 0.0996206179261208, 9.5, -0.128753438591957, 9800010, 0, 0, 0
9.9, 0.140916064381599, 9.5, -0.504764974117279, 9900010, 0, 0, 0
10, 0.17508727312088, 9.5, -0.503365039825439, 10000010, 0, 0, 0
10.1, 0.203819081187248, 9.16342258453369, -0.394905596971512, 10100010, 0, 0, 0
10.2, 0.227754518389702, 8.37042236328125, -0.435727924108505, 10200010, 0, 0, 0
10.3, 0.247301653027534, 7.77572822570801, -0.488869965076447, 10300010, 0, 0, 0
10.4, 0.262104898691177, 7.31300115585327, -0.503648400306702, 10400010, 0, 0, 0
10.5, 0.274898707866669, 6.87892150878906, -0.507231175899506, 10500010, 0, 0, 0
10.6, 0.284524023532867, 6.58967399597168, -0.535136461257935, 10600020, 0, 0, 0
10.7, 0.292283236980438, 6.28895092010498, -0.493761092424393, 10700010, 0, 0, 0
10.8, 0.298336058855057, 6.08621644973755, -0.528301596641541, 10800010, 0, 0, 0
10.9, 0.303436756134033, 5.85091638565063, -0.54620748758316, 10900010, 0, 0, 0
11, 0.307905554771423, 5.70472097396851, -0.516852080821991, 11000010, 0, 0, 0
11.1, 0.311634927988052, 5.55240440368652, -0.53580242395401, 11100010, 0, 0, 0
11.2, 0.313728243112564, 5.43544244766235, -0.525320291519165, 11200010, 0, 0, 0
11.3, 0.315988332033157, 5.30332851409912, -0.550922989845276, 11300010, 0, 0, 0
11.4, 0.318175256252289, 5.21375322341919, -0.536397218704224, 11400010, 0, 0, 0
11.5, 0.31939685344696, 5.14207696914673, -0.541348218917847, 11500010, 0, 0, 0
11.6, 0.320387601852417, 5.06332778930664, -0.553215086460114, 11600010, 0, 0, 0
11.7, 0.320878356695175, 4.99535751342773, -0.567299544811249, 11700010, 0, 0, 0
11.8, 0.321173310279846, 4.92947149276733, -0.559313416481018, 11800010, 0, 0, 0
11.9, 0.320972204208374, 4.90655994415283, -0.549222588539124, 11900010, 0, 0, 0
12, 0.320044249296188, 4.8710150718689, -0.528544664382935, 12000010, 0, 0, 0
12.1, 0.319714277982712, 4.80334186553955, -0.542344748973846, 12100010, 0, 0, 0
12.2, 0.318471640348434, 4.79719400405884, -0.568006336688995, 12200010, 0, 0, 0
12.3, 0.31802237033844, 4.75265645980835, -0.575657665729523, 12300010, 0, 0, 0
12.4, 0.317378699779511, 4.74970149993896, -0.561550557613373, 12400010, 0, 0, 0
12.5, 0.316396296024323, 4.72280025482178, -0.559397757053375, 12500010, 0, 0, 0
