
0	Header	[1]	00  .
6189	Data	[38]	36 2e 32 37 37 33 39 65 2d 30 32 2c 2d 35 2e 34 36 65 2b 30 30 2c 2d 34 2e 31 32 65 2b 30 30 2c 30 2c 36 31 30 30  6.27739e-02,-5.46e+00,-4.12e+00,0,6100
6289	Data	[38]	36 2e 31 36 37 37 33 65 2d 30 32 2c 2d 35 2e 31 32 65 2b 30 30 2c 2d 34 2e 36 32 65 2b 30 30 2c 30 2c 36 32 30 30  6.16773e-02,-5.12e+00,-4.62e+00,0,6200
6389	Data	[38]	36 2e 30 33 36 31 30 65 2d 30 32 2c 2d 34 2e 38 36 65 2b 30 30 2c 2d 35 2e 31 36 65 2b 30 30 2c 30 2c 36 33 30 30  6.03610e-02,-4.86e+00,-5.16e+00,0,6300
6489	Data	[38]	36 2e 30 37 30 32 39 65 2d 30 32 2c 2d 34 2e 34 38 65 2b 30 30 2c 2d 35 2e 37 31 65 2b 30 30 2c 30 2c 36 34 30 30  6.07029e-02,-4.48e+00,-5.71e+00,0,6400
6589	Data	[38]	36 2e 30 39 34 30 39 65 2d 30 32 2c 2d 34 2e 31 33 65 2b 30 30 2c 2d 36 2e 30 31 65 2b 30 30 2c 30 2c 36 35 30 30  6.09409e-02,-4.13e+00,-6.01e+00,0,6500
6689	Data	[38]	35 2e 39 39 36 34 31 65 2d 30 32 2c 2d 33 2e 36 39 65 2b 30 30 2c 2d 36 2e 34 39 65 2b 30 30 2c 30 2c 36 36 30 30  5.99641e-02,-3.69e+00,-6.49e+00,0,6600
6789	Data	[38]	36 2e 30 30 32 36 32 65 2d 30 32 2c 2d 33 2e 34 32 65 2b 30 30 2c 2d 36 2e 37 33 65 2b 30 30 2c 30 2c 36 37 30 30  6.00262e-02,-3.42e+00,-6.73e+00,0,6700
6889	Data	[38]	35 2e 39 36 36 38 36 65 2d 30 32 2c 2d 33 2e 31 31 65 2b 30 30 2c 2d 37 2e 30 32 65 2b 30 30 2c 30 2c 36 38 30 30  5.96686e-02,-3.11e+00,-7.02e+00,0,6800
6989	Data	[38]	35 2e 39 37 38 34 37 65 2d 30 32 2c 2d 32 2e 36 36 65 2b 30 30 2c 2d 36 2e 38 31 65 2b 30 30 2c 30 2c 36 39 30 30  5.97847e-02,-2.66e+00,-6.81e+00,0,6900
7089	Data	[38]	35 2e 39 37 30 37 34 65 2d 30 32 2c 2d 32 2e 33 33 65 2b 30 30 2c 2d 37 2e 30 39 65 2b 30 30 2c 30 2c 37 30 30 30  5.97074e-02,-2.33e+00,-7.09e+00,0,7000
