Meter S/N:,
Sensor,
Date, 12/11/2015 4:20:37 PM
Units, W
Timestamp, Measurement, Sequence, Flags, FlagsInterpreted, Period
0.0154624, 1.83114802837372, 0, 32, UnderRange, 0, 83268e3e 2000
0.0155136, 1.24498617649078, 0, 32, UnderRange, 0, 83268e3e 2000
0.0155648, 0.756396472454071, 0, 32, UnderRange, 0, 83268e3e 2000
0.0156160, 0.42741259932518, 0, 32, UnderRange, 0, 83268e3e 2000
0.0156672, 0.294061332941055, 0, 32, UnderRange, 0, 83268e3e 2000
0.0157184, 0.265337646007538, 0, 32, UnderRange, 0, 83268e3e 2000
0.0157696, 0.380701571702957, 0, 32, UnderRange, 0, 83268e3e 2000
0.0158208, 0.725731313228607, 0, 32, UnderRange, 0, 83268e3e 2000
0.0158720, 1.21194326877594, 0, 32, UnderRange, 0, 83268e3e 2000
0.0159232, 1.78810477256775, 0, 32, UnderRange, 0, 83268e3e 2000
0.0159744, 2.51019763946533, 0, 32, UnderRange, 0, 83268e3e 2000
0.0160256, 3.35365462303162, 0, 32, UnderRange, 0, 83268e3e 2000
0.0160768, 4.26423978805542, 0, 32, UnderRange, 0, 83268e3e 2000
0.0161280, 5.23664379119873, 0, 32, UnderRange, 0, 83268e3e 2000
0.0161792, 6.17984867095947, 0, 32, UnderRange, 0, 83268e3e 2000
0.0162304, 7.10341167449951, 0, 32, UnderRange, 0, 83268e3e 2000
0.0162816, 8.10713291168213, 0, 33, TriggerDetected| UnderRange, 0, 83268e3e 2000
0.0163328, 9.06521701812744, 0, 32, UnderRange, 0, 83268e3e 2000
0.0163840, 9.92860317230225, 0, 32, UnderRange, 0, 83268e3e 2000
0.0164352, 10.7457723617554, 0, 32, UnderRange, 0, 83268e3e 2000
0.0164864, 11.4399166107178, 0, 32, UnderRange, 0, 83268e3e 2000
0.0165376, 11.9973936080933, 0, 32, UnderRange, 0, 83268e3e 2000
0.0165888, 12.4304971694946, 0, 32, UnderRange, 0, 83268e3e 2000
0.0166400, 12.6935701370239, 0, 32, UnderRange, 0, 83268e3e 2000
0.0166912, 12.8232288360596, 0, 32, UnderRange, 0, 83268e3e 2000
0.0167424, 12.7736434936523, 0, 32, UnderRange, 0, 83268e3e 2000
0.0167936, 12.5434045791626, 0, 32, UnderRange, 0, 83268e3e 2000
0.0168448, 12.1893653869629, 0, 32, UnderRange, 0, 83268e3e 2000
0.0168960, 11.6835889816284, 0, 32, UnderRange, 0, 83268e3e 2000
0.0169472, 11.037015914917, 0, 32, UnderRange, 0, 83268e3e 2000
0.0169984, 10.257625579834, 0, 32, UnderRange, 0, 83268e3e 2000
0.0170496, 9.41220188140869, 0, 32, UnderRange, 0, 83268e3e 2000
0.0171008, 8.49358940124512, 0, 32, UnderRange, 0, 83268e3e 2000
0.0171520, 7.5005202293396, 0, 32, UnderRange, 0, 83268e3e 2000
0.0172032, 6.49366617202759, 0, 32, UnderRange, 0, 83268e3e 2000
0.0172544, 5.48938512802124, 0, 32, UnderRange, 0, 83268e3e 2000
0.0173056, 4.51410150527954, 0, 32, UnderRange, 0, 83268e3e 2000
