Meter S/N:, "REV_DA_11"
Sensor, THERMO,QUAD, 1A361
Date, 10/21/2014 1:56:12 PM
Units, W
Timestamp, Measurement, X, Y, Sequence, Flags, Flags (interpreted), Period
24.8, 0.0918904468417168, 0.978815615177155, 1.63518249988556, 24800000, 0, 0, 0
24.9, 0.0918722152709961, 1.02181446552277, 1.53508448600769, 24900000, 0, 0, 0
25, 0.09198097884655, 0.976457476615906, 1.59139692783356, 25000000, 0, 0, 0
25.1, 0.0921945124864578, 1.1148853302002, 1.42678451538086, 25100000, 0, 0, 0
25.2, 0.0922100245952606, 0.970384180545807, 1.47878956794739, 25200000, 0, 0, 0
25.3, 0.0918318554759026, 1.02880764007568, 1.41233134269714, 25300000, 0, 0, 0
25.4, 0.0926068499684334, 1.03796124458313, 1.475825548172, 25400000, 0, 0, 0
25.5, 0.0915697664022446, 1.08110296726227, 1.38341450691223, 25500000, 0, 0, 0
25.6, 0.0919239148497581, 1.02037954330444, 1.36707007884979, 25600000, 0, 0, 0
25.7, 0.0916451811790466, 1.0790981054306, 1.35466003417969, 25700000, 0, 0, 0
25.8, 0.0920810475945473, 1.08940100669861, 1.23549556732178, 25800000, 0, 0, 0
25.9, 0.0915223360061646, 1.12494587898254, 1.16703879833221, 25900000, 0, 0, 0
26, 0.0916565284132957, 0.930060565471649, 1.28236246109009, 26000000, 0, 0, 0
26.1, 0.0921869575977325, 1.07650184631348, 1.14707911014557, 26100000, 0, 0, 0
26.2, 0.092099092900753, 1.08437633514404, 1.20171356201172, 26200000, 0, 0, 0
26.3, 0.0917864367365837, 1.09837019443512, 1.22078216075897, 26300000, 0, 0, 0
26.4, 0.0915200337767601, 1.1140650510788, 1.16987025737762, 26400000, 0, 0, 0
26.5, 0.0919601321220398, 1.04300832748413, 1.21948528289795, 26500000, 0, 0, 0
26.6, 0.0920505970716476, 1.12782430648804, 1.1286141872406, 26600000, 0, 0, 0
26.7, 0.092505156993866, 1.09554755687714, 1.14457905292511, 26700000, 0, 0, 0
26.8, 0.0916911959648132, 1.08688116073608, 1.10633432865143, 26800000, 0, 0, 0
26.9, 0.0925603955984116, 1.12971436977386, 1.03479659557343, 26900000, 0, 0, 0
27, 0.0919068083167076, 1.12744176387787, 1.10924184322357, 27000000, 0, 0, 0
27.1, 0.0915613546967506, 1.06576287746429, 1.04879760742188, 27100000, 0, 0, 0
27.2, 0.0921626910567284, 1.19655847549438, 0.993371188640594, 27200000, 0, 0, 0
27.3, 0.0919743329286575, 1.11843049526215, 1.09318208694458, 27300000, 0, 0, 0
27.4, 0.0917332172393799, 1.10468900203705, 1.03280770778656, 27400000, 0, 0, 0
27.5, 0.0924429222941399, 1.14246416091919, 0.941938281059265, 27500000, 0, 0, 0
27.6, 0.0923081114888191, 1.07183361053467, 0.902574360370636, 27600000, 0, 0, 0
27.7, 0.0925533324480057, 1.20189738273621, 0.836421608924866, 27700000, 0, 0, 0
27.8, 0.0919252634048462, 1.19065272808075, 0.777624189853668, 27800000, 0, 0, 0
27.9, 0.0925728380680084, 1.08813762664795, 0.734725534915924, 27900000, 0, 0, 0
28, 0.0926259607076645, 1.23290312290192, 0.77902090549469, 28000000, 0, 0, 0
28.1, 0.0921433568000793, 1.22953772544861, 0.674511432647705, 28100000, 0, 0, 0
28.2, 0.0919846892356873, 1.14374721050262, 0.709753274917603, 28200000, 0, 0, 0
28.3, 0.0921128839254379, 1.15478563308716, 0.693500578403473, 28300000, 0, 0, 0
28.4, 0.0922162979841232, 1.17617428302765, 0.607937753200531, 28400000, 0, 0, 0
28.5, 0.0922430902719498, 1.15602421760559, 0.6501744389534, 28500000, 0, 0, 0
28.6, 0.0913663357496262, 1.18818700313568, 0.741198539733887, 28600000, 0, 0, 0
28.7, 0.0922281071543694, 1.21695041656494, 0.484714597463608, 28700000, 0, 0, 0
28.8, 0.0919433906674385, 1.26234865188599, 0.581418097019196, 28800000, 0, 0, 0
28.9, 0.0916411727666855, 1.21203052997589, 0.488059282302856, 28900000, 0, 0, 0
29, 0.0917503759264946, 1.19091701507568, 0.444530457258224, 29000000, 0, 0, 0
29.1, 0.0922564715147018, 1.24844825267792, 0.405967950820923, 29100000, 0, 0, 0
29.2, 0.0928197726607323, 1.17215025424957, 0.410768210887909, 29200000, 0, 0, 0
29.3, 0.0921089425683022, 1.26466679573059, 0.340748906135559, 29300000, 0, 0, 0
29.4, 0.0918743312358856, 1.2731100320816, 0.336487412452698, 29400000, 0, 0, 0
