Meter S/N:," ""serial number""",,,,
Sensor, THERMO,SINGLE, 150W-HD,,
Date, 2/14/2014 11:57:03 AM,,,,
Timestamp, Measurement, Sequence, Flags, Flags (interpreted),
0.197427,0.015162327,2625730,0,0,1.07224E-07
0.197434,0.015473173,2625730,0,0,8.25012E-08
0.19744,0.012027227,2625740,0,0,5.62436E-08
0.197446,0.006720649,2625740,0,0,5.57638E-08
0.197453,0.009211854,2625750,0,0,5.65101E-08
0.197459,0.009624835,2625760,0,0,5.15363E-08
0.197466,0.005099811,2625760,0,0,2.18863E-08
0.197472,0.002195625,2625770,0,0,2.07939E-08
0.197478,0.004735678,2625780,0,0,4.38428E-08
0.197485,0.007790845,2625780,0,0,5.35126E-08
0.197491,0.010046696,2625790,0,0,5.21113E-08
0.197498,0.004842253,2625800,0,0,2.92533E-08
0.197504,0.004908863,2625800,0,0,1.97015E-08
0.19751,0.001658306,2625810,0,0,3.49526E-08
0.197517,0.008328164,2625810,0,0,6.05733E-08
0.197523,0.011862923,2625820,0,0,7.03735E-08
0.19753,0.008243792,2625830,0,0,6.04267E-08
0.197536,0.011898449,2625830,0,0,7.07646E-08
0.197542,0.011689737,2625840,0,0,8.81539E-08
0.197549,0.013497083,2625850,0,0,6.76339E-08
0.197555,0.00904755,2625850,0,0,5.26553E-08
0.197562,0.005996822,2625860,0,0,2.19263E-08
0.197568,0.001311935,2625870,0,0,1.45726E-08
0.197574,0.003545583,2625870,0,0,1.72034E-08
0.197581,0.001369664,2625880,0,0,3.73531E-08
0.197587,0.011081369,2625890,0,0,5.44738E-08
0.197594,0.00448256,2625890,0,0,3.37295E-08
0.1976,0.006760614,2625900,0,0,5.24069E-08
0.197606,0.010708353,2625900,0,0,7.55025E-08
0.197613,0.010863776,2625910,0,0,6.35041E-08
0.197619,0.010304254,2625920,0,0,4.93293E-08
0.197626,0.003789819,2625920,0,0,3.15847E-08
0.197632,0.006738411,2625930,0,0,4.95027E-08
0.197638,0.009762495,2625940,0,0,7.50517E-08
0.197645,0.011680856,2625940,0,0,7.49743E-08
0.197651,0.013310576,2625950,0,0,7.04201E-08
0.197658,0.006809461,2625960,0,0,2.8827E-08
0.197664,0.002799553,2625960,0,0,4.16561E-08
0.19767,0.011085809,2625970,0,0,5.67274E-08
0.197677,0.005122014,2625980,0,0,4.6079E-08
0.197683,0.010237644,2625980,0,0,7.14459E-08
0.19769,0.010175476,2625990,0,0,6.70078E-08
0.197696,0.012160446,2625990,0,0,5.90013E-08
0.197702,0.007506644,2626000,0,0,5.94473E-08
0.197709,0.009478293,2626010,0,0,5.44052E-08
0.197715,0.008656773,2626010,0,0,4.99509E-08
0.197722,0.005614926,2626020,0,0,3.38894E-08
0.197728,0.005681536,2626030,0,0,4.00974E-08
0.197734,0.00768427,2626030,0,0,6.67366E-08
0.197741,0.011383332,2626040,0,0,3.15847E-08
0.197747,-0.000855103,2626050,32, NegativePower,6.47919E-09
0.197754,0.0027063,2626050,0,0,2.67755E-08
0.19776,0.006218855,2626060,0,0,4.2895E-08
0.197766,0.008079488,2626060,0,0,5.52819E-08
0.197773,0.007715355,2626070,0,0,7.22966E-08
0.197779,0.016383506,2626080,0,0,1.0724E-07
0.197786,0.014256435,2626080,0,0,4.85302E-08
0.197792,0.001920304,2626090,0,0,2.54299E-08
0.197798,0.006556345,2626100,0,0,3.90247E-08
0.197805,0.004593576,2626100,0,0,3.78727E-08
0.197811,0.008030641,2626110,0,0,6.62237E-08
0.197818,0.010890421,2626120,0,0,6.38371E-08
